Subject,session,session_rev,Reward,RT
16,6,4,1,1433.2
16,7,5,-1,1422.818182
16,7,5,1,1427.875
16,8,6,-1,1438.571429
16,8,6,1,1457.6
16,9,7,-1,1307.909091
16,9,7,1,1337.777778
17,2,0,-1,882.75
17,2,0,1,879
17,3,1,-1,924.5862069
17,3,1,1,730.125
17,4,2,-1,851.3913043
17,4,2,1,1052.0625
17,5,3,-1,843.7647059
17,5,3,1,979.1875
17,6,4,-1,1038.470588
17,6,4,1,1113.928571
17,7,5,-1,968.4333333
17,7,5,1,959.2857143
17,8,6,-1,861.7894737
17,8,6,1,918.5625
17,9,7,-1,912.3846154
17,9,7,1,992.75
18,2,0,-1,415.75
18,2,0,1,980
18,3,1,-1,1103.181818
18,3,1,1,1129.6
18,4,2,-1,976.0909091
18,4,2,1,945
18,5,3,-1,1425.857143
18,5,3,1,1350.909091
18,6,4,-1,1264
18,6,4,1,1506.222222
18,7,5,-1,1037
18,7,5,1,1313.214286
18,8,6,-1,1059
18,8,6,1,1054.4
18,9,7,-1,1118.0625
18,9,7,1,1057.625
19,2,0,-1,742
19,2,0,1,681.5
19,3,1,-1,1218.866667
19,3,1,1,1129
19,4,2,-1,1417.666667
19,4,2,1,1349.636364
19,5,3,-1,1520.5
19,5,3,1,1671.5
19,6,4,-1,1418.428571
19,6,4,1,1681.181818
19,7,5,-1,1512.071429
19,7,5,1,1669.923077
19,8,6,-1,1357.5625
19,8,6,1,1795.625
19,9,7,-1,1244.454545
19,9,7,1,1592.733333
20,2,0,-1,1637.176471
20,2,0,1,1820.333333
20,3,1,-1,1466.111111
20,3,1,1,1565.846154
20,4,2,-1,1338.352941
20,4,2,1,1523.823529
20,5,3,-1,1499.5
20,5,3,1,1498.533333
20,6,4,-1,1540.666667
20,6,4,1,1499.4
20,7,5,-1,1273.7
20,7,5,1,1427
20,8,6,-1,1156.090909
20,8,6,1,1201
20,9,7,-1,1245.846154
20,9,7,1,1312.15
21,2,0,-1,1692.714286
21,2,0,1,1565.727273
21,3,1,-1,1426.454545
21,3,1,1,1165.875
21,4,2,-1,1946.666667
21,4,2,1,1314.266667
21,5,3,-1,1375.111111
21,5,3,1,1383.533333
21,6,4,-1,1493.307692
21,6,4,1,1290.611111
21,7,5,-1,1504.071429
21,7,5,1,1342.1875
21,8,6,-1,1741.714286
21,8,6,1,1251.071429
21,9,7,-1,1175.142857
21,9,7,1,926.25
22,2,0,-1,1089.4
22,2,0,1,1131.066667
22,3,1,-1,1048.888889
22,3,1,1,1174.416667
22,4,2,-1,1050.0625
22,4,2,1,1137.333333
22,5,3,-1,1042.230769
22,5,3,1,1077.3
22,6,4,-1,1114.909091
22,6,4,1,1032.8
22,7,5,-1,1156.375
22,7,5,1,1067.3125
22,8,6,-1,1235.666667
22,8,6,1,1020.214286
22,9,7,-1,1116.461538
22,9,7,1,1207.071429
23,2,0,-1,569.75
23,2,0,1,751.375
23,3,1,-1,894.5
23,3,1,1,1003.7
23,4,2,-1,1400.25
23,4,2,1,1180.666667
23,5,3,-1,1627.428571
23,5,3,1,1260.8
23,6,4,-1,1457.4
23,6,4,1,1289.384615
23,7,5,-1,1407.444444
23,7,5,1,1080.428571
23,8,6,-1,1578
23,8,6,1,1178.071429
23,9,7,-1,1615.666667
23,9,7,1,1099.666667
24,2,0,-1,1046.571429
24,2,0,1,748.2
24,3,1,-1,692.25
24,3,1,1,453.5714286
24,4,2,-1,1289.3125
24,4,2,1,1112.142857
24,5,3,1,1278.222222
24,6,4,-1,1492
24,6,4,1,1150.166667
24,7,5,-1,1296.4
24,7,5,1,1093.272727
