Subject,session,session_rev,Reward,ACC
14,6,4,1,0.75862069
14,7,5,-1,0.9
14,7,5,1,0.904761905
14,8,6,-1,0.956521739
14,8,6,1,0.9
14,9,7,-1,0.896551724
14,9,7,1,1
15,2,0,-1,0.458333333
15,2,0,1,0.56
15,3,1,-1,0.777777778
15,3,1,1,0.85
15,4,2,-1,1
15,4,2,1,0.777777778
15,5,3,-1,0.913043478
15,5,3,1,0.888888889
15,6,4,-1,0.846153846
15,6,4,1,0.842105263
15,7,5,-1,0.857142857
15,7,5,1,0.8125
15,8,6,-1,0.782608696
15,8,6,1,0.761904762
15,9,7,-1,0.821428571
15,9,7,1,0.894736842
16,2,0,-1,0.5
16,2,0,1,0.655172414
16,3,1,-1,0.555555556
16,3,1,1,0.863636364
16,4,2,-1,0.785714286
16,4,2,1,0.894736842
16,5,3,-1,0.9
16,5,3,1,1
16,6,4,-1,0.964285714
16,6,4,1,0.9375
16,7,5,-1,0.909090909
16,7,5,1,1
16,8,6,-1,0.952380952
16,8,6,1,1
16,9,7,-1,1
16,9,7,1,0.944444444
17,2,0,-1,0.590909091
17,2,0,1,0.703703704
17,3,1,-1,0.653061224
17,3,1,1,0.75
17,4,2,-1,0.731707317
17,4,2,1,0.64516129
17,5,3,-1,0.8
17,5,3,1,0.740740741
17,6,4,-1,0.85
17,6,4,1,0.941176471
17,7,5,-1,0.818181818
17,7,5,1,1
17,8,6,-1,0.75862069
17,8,6,1,0.696969697
17,9,7,-1,0.823529412
17,9,7,1,0.9
18,2,0,-1,0.666666667
18,2,0,1,0.5
18,3,1,-1,0.541666667
18,3,1,1,0.625
18,4,2,-1,0.733333333
18,4,2,1,0.384615385
18,5,3,-1,0.45
18,5,3,1,0.527777778
18,6,4,-1,0.52173913
18,6,4,1,1
18,7,5,-1,0.695652174
18,7,5,1,0.703703704
18,8,6,-1,0.476190476
18,8,6,1,0.826086957
18,9,7,-1,0.857142857
18,9,7,1,0.941176471
19,2,0,-1,0.375
19,2,0,1,0.458333333
19,3,1,-1,0.588235294
19,3,1,1,0.7
19,4,2,-1,0.44
19,4,2,1,0.71875
19,5,3,-1,0.789473684
19,5,3,1,0.789473684
19,6,4,-1,0.833333333
19,6,4,1,0.761904762
19,7,5,-1,0.833333333
19,7,5,1,0.736842105
19,8,6,-1,0.947368421
19,8,6,1,0.888888889
19,9,7,-1,0.631578947
19,9,7,1,0.851851852
20,2,0,-1,0.52
20,2,0,1,0.585365854
20,3,1,-1,0.722222222
20,3,1,1,0.678571429
20,4,2,-1,1
20,4,2,1,0.894736842
20,5,3,-1,1
20,5,3,1,0.9375
20,6,4,-1,0.9
20,6,4,1,0.941176471
20,7,5,-1,1
20,7,5,1,0.857142857
20,8,6,-1,1
20,8,6,1,0.941176471
20,9,7,-1,1
20,9,7,1,1
21,2,0,-1,0.676470588
21,2,0,1,0.769230769
21,3,1,-1,0.8
21,3,1,1,0.888888889
21,4,2,-1,0.684210526
21,4,2,1,0.869565217
21,5,3,-1,0.8125
21,5,3,1,0.823529412
21,6,4,-1,0.866666667
21,6,4,1,0.909090909
21,7,5,-1,0.947368421
21,7,5,1,0.833333333
21,8,6,-1,1
21,8,6,1,0.882352941
21,9,7,-1,0.857142857
21,9,7,1,0.9375
22,2,0,-1,0.6
22,2,0,1,0.487804878
22,3,1,-1,0.580645161
22,3,1,1,0.689655172
22,4,2,-1,0.703703704
22,4,2,1,0.818181818
22,5,3,-1,0.647058824
22,5,3,1,0.818181818
22,6,4,-1,0.9375
22,6,4,1,0.8
22,7,5,-1,0.727272727
22,7,5,1,1
22,8,6,-1,0.961538462
22,8,6,1,0.866666667
22,9,7,-1,0.875
22,9,7,1,0.894736842
23,2,0,-1,0.7
23,2,0,1,0.590909091
23,3,1,-1,0.41025641
23,3,1,1,0.575757576
23,4,2,-1,0.5
23,4,2,1,0.535714286
23,5,3,-1,0.535714286
23,5,3,1,0.48
23,6,4,-1,0.538461538
23,6,4,1,0.666666667
23,7,5,-1,0.55
23,7,5,1,0.8
23,8,6,-1,0.9
23,8,6,1,0.695652174
23,9,7,-1,0.956521739
23,9,7,1,0.736842105
24,2,0,-1,0.416666667
24,2,0,1,0.454545455
24,3,1,-1,0.529411765
24,3,1,1,0.636363636
24,4,2,-1,0.6
24,4,2,1,0.595238095
24,5,3,-1,0.533333333
24,5,3,1,0.461538462
24,6,4,-1,0.357142857
24,6,4,1,0.696969697
24,7,5,-1,0.552631579
24,7,5,1,0.571428571
24,8,6,-1,0.666666667
24,8,6,1,0.538461538
24,9,7,-1,0.642857143
24,9,7,1,0.666666667
25,2,0,-1,0.477272727
25,2,0,1,0.5
25,3,1,-1,0.558139535
25,3,1,1,0.5
25,4,2,-1,0.68
25,4,2,1,0.64516129
25,5,3,-1,0.609756098
25,5,3,1,0.578947368
25,6,4,-1,0.833333333
25,6,4,1,0.777777778
25,7,5,-1,0.541666667
25,7,5,1,0.730769231
25,8,6,-1,0.875
25,8,6,1,0.666666667
25,9,7,-1,0.933333333
25,9,7,1,0.888888889
26,2,0,-1,0.571428571
26,2,0,1,0.655172414
26,3,1,-1,0.666666667
26,3,1,1,0.565217391
26,4,2,-1,0.555555556
26,4,2,1,0.625
26,5,3,-1,0.652173913
26,5,3,1,0.692307692
26,6,4,-1,0.611111111
26,6,4,1,0.724137931
26,7,5,-1,0.714285714
26,7,5,1,0.740740741
26,8,6,-1,0.810810811
26,8,6,1,0.869565217
26,9,7,-1,0.869565217
26,9,7,1,0.913043478
27,2,0,-1,0.466666667
27,2,0,1,0.513513514
27,3,1,-1,0.666666667
27,3,1,1,0.555555556
27,4,2,-1,0.565217391
27,4,2,1,0.5
27,5,3,-1,0.608695652
27,5,3,1,0.653846154
27,6,4,-1,0.588235294
27,6,4,1,0.703703704
27,7,5,-1,0.633333333
27,7,5,1,0.862068966
27,8,6,-1,0.64
27,8,6,1,0.5
27,9,7,-1,0.818181818
27,9,7,1,0.857142857
28,2,0,-1,0.5
28,2,0,1,0.615384615
28,3,1,-1,0.866666667
28,3,1,1,0.9
28,4,2,-1,0.92
28,4,2,1,0.727272727
28,5,3,-1,0.9
28,5,3,1,0.9
28,6,4,-1,0.947368421
28,6,4,1,0.947368421
28,7,5,-1,0.933333333
28,7,5,1,0.952380952
28,8,6,-1,1
28,8,6,1,0.956521739
28,9,7,-1,0.944444444
28,9,7,1,1
29,2,0,-1,0.8
