Subject,LRT,RRT,RTMax,Lacc,Racc,Bacc,PrevAcc,Block,SubTrial,Lstim,Rstim,Stim1,Stim2,S-Chord,CResp1,CResp2,Resp1,Resp2,R-Chord,RewardType,AfterRew,Rmapping,Trial 1,BadTime,Repeat,Async,ChordType,Useable,RewMag
24,1084,1026,1084,1,1,1,1,2,30,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,0,2,0,0,0,1,SC,1,130
24,1331,1337,1337,1,1,1,1,2,31,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,0,0,1,SI,1,190
24,1178,1152,1178,1,1,1,1,2,32,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,1,0
24,1745,1719,1745,1,1,1,1,2,33,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,80
24,1368,1342,1368,1,1,1,1,2,34,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,1,0
24,1471,1445,1471,1,1,1,1,2,35,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,1,180
24,1222,1212,1222,1,1,1,1,2,36,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,860,835,860,1,1,1,1,2,37,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1251,1226,1251,1,1,1,1,2,38,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,0,2,0,0,0,1,SC,1,0
24,1563,1537,1563,1,1,1,1,2,39,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,110
24,1697,1671,1697,1,1,1,1,2,40,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,1,0
24,1592,1566,1592,1,1,1,1,2,41,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,1,150
24,2032,40,2032,1,0,0,1,2,42,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,1,0,0,SC,0,0
24,1500,1522,1522,0,1,0,0,2,43,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,0,50
24,1192,1185,1192,1,1,1,0,2,44,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,0,0
