Subject,session,session_rev,Reward,RT
34,3,1,-1,1245
34,4,2,1,1067
34,4,2,-1,1174
34,5,3,1,1169
34,5,3,-1,1086
34,6,4,1,1042
34,6,4,-1,1108
34,7,5,1,1018
34,7,5,-1,1171
34,8,6,1,1039
34,8,6,-1,1148
34,9,7,1,1004
34,9,7,-1,1088
35,2,0,1,1565
35,2,0,-1,1426
35,3,1,1,1402
35,3,1,-1,1347
35,4,2,1,1318
35,4,2,-1,1289
35,5,3,1,1195
35,5,3,-1,1351
35,6,4,1,1031
35,6,4,-1,1120
35,7,5,1,1276
35,7,5,-1,1017
35,8,6,1,1214
35,8,6,-1,1104
35,9,7,1,1199
35,9,7,-1,1039
36,2,0,1,1404
36,2,0,-1,1379
36,3,1,1,1296
36,3,1,-1,1169
36,4,2,1,1190
36,4,2,-1,1354
36,5,3,1,1318
36,5,3,-1,1300
36,6,4,1,1220
36,6,4,-1,1473
36,7,5,1,1225
36,7,5,-1,1412
36,8,6,1,1191
36,8,6,-1,1311
36,9,7,1,1321
36,9,7,-1,1501
41,2,0,1,1413
41,2,0,-1,1436
41,3,1,1,1489
41,3,1,-1,1331
41,4,2,1,1368
41,4,2,-1,1302
41,5,3,1,1294
41,5,3,-1,1182
41,6,4,1,1222
41,6,4,-1,1274
41,7,5,1,1336
41,7,5,-1,1255
41,8,6,1,1171
41,8,6,-1,1203
41,9,7,1,1305
41,9,7,-1,1309
42,2,0,1,1107
42,2,0,-1,1217
42,3,1,1,950
42,3,1,-1,1137
42,4,2,1,1076
42,4,2,-1,1062
42,5,3,1,1269
42,5,3,-1,1330
42,6,4,1,1123
42,6,4,-1,1182
42,7,5,1,1229
42,7,5,-1,1194
42,8,6,1,981
42,8,6,-1,1303
42,9,7,1,1149
42,9,7,-1,1248
43,2,0,1,1489
43,2,0,-1,1496
43,3,1,1,1457
43,3,1,-1,1484
43,4,2,1,1437
43,4,2,-1,1409
43,5,3,1,1489
43,5,3,-1,1471
43,6,4,1,1506
43,6,4,-1,1388
43,7,5,1,1334
43,7,5,-1,1363
43,8,6,1,1242
43,8,6,-1,1568
43,9,7,1,1220
43,9,7,-1,1365
44,2,0,1,1367
44,2,0,-1,1345
44,3,1,1,872
44,3,1,-1,938
44,4,2,1,914
44,4,2,-1,969
44,5,3,1,953
44,5,3,-1,910
44,6,4,1,935
44,6,4,-1,1094
44,7,5,1,976
44,7,5,-1,976
44,8,6,1,905
44,8,6,-1,953
44,9,7,1,802
44,9,7,-1,944
49,2,0,1,1559
49,2,0,-1,1578
49,3,1,1,1580
49,3,1,-1,1649
49,4,2,1,1663
49,4,2,-1,1550
49,5,3,1,1565
49,5,3,-1,1558
49,6,4,1,1491
49,6,4,-1,1428
49,7,5,1,1367
49,7,5,-1,1463
49,8,6,1,1405
49,8,6,-1,1438
49,9,7,1,1414
49,9,7,-1,1357
50,2,0,1,1411
50,2,0,-1,1371
50,3,1,1,1521
50,3,1,-1,1439
50,4,2,1,1301
50,4,2,-1,1359
50,5,3,1,1197
50,5,3,-1,1362
50,6,4,1,1204
50,6,4,-1,1359
50,7,5,1,1298
50,7,5,-1,1288
50,8,6,1,1164
50,8,6,-1,1312
50,9,7,1,1204
50,9,7,-1,1315
51,2,0,1,1498
51,2,0,-1,1333
51,3,1,1,1277
51,3,1,-1,1408
51,4,2,1,1263
51,4,2,-1,1467
51,5,3,1,1317
51,5,3,-1,1300
51,6,4,1,1282
51,6,4,-1,1427
51,7,5,1,1418
51,7,5,-1,1325
51,8,6,1,1251
51,8,6,-1,1305
51,9,7,1,1318
51,9,7,-1,1349
52,2,0,1,1203
52,2,0,-1,1373
52,3,1,1,1274
52,3,1,-1,1288
52,4,2,1,1268
52,4,2,-1,1343
52,5,3,1,1236
52,5,3,-1,1181
52,6,4,1,1208
52,6,4,-1,1217
