Subject,Sex,Group,Rmapping,CB,RTL,RTR,RTMax,Asynchrony,AccL,AccR,Bacc,Block,Trial, F1,Face2,R1,R2,Chord,CResp1,CResp2,RewardType,ChordType,Rewarded,Code,PrevReward,AfterReward,Practiced,PrevAcc,GoodFast,Repeats,Useable,Qchord,QRecall,QRespQ,Composite Awareness
1,2,1,1,1,1338,1344,1344,6,1,1,1,1,36,Face4.jpg,Face6.jpg,4,6,46,r,i,W,SI,1,11,1,0,0,0,1,0,1,,,0,1
1,2,1,1,1,1370,1360,1370,10,1,1,1,1,37,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,1,11,1,0,1,1,1,0,1,,,0,1
1,2,1,1,1,2074,2096,2096,22,1,1,1,1,38,Face3.jpg,Face8.jpg,3,8,38,e,p,W,SI,1,11,1,0,0,1,0,0,0,,,0,1
1,2,1,1,1,1274,1264,1274,10,1,1,1,1,39,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,1,11,1,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1595,1617,1617,22,1,1,1,1,40,Face4.jpg,Face5.jpg,4,5,45,r,u,W,M,1,11,1,0,0,1,1,0,1,,,0,1
1,2,1,1,1,2363,2355,2363,8,0,1,0,1,41,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,1,0,1,1,0,0,0,,,0,1
1,2,1,1,1,2334,2308,2334,26,1,0,0,1,42,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,1,11,1,1,1,0,0,0,0,,,0,1
1,2,1,1,1,1740,1728,1740,12,1,1,1,1,43,Face1.jpg,Face8.jpg,1,8,18,q,p,W,M,1,11,1,0,0,0,1,0,1,,,0,1
1,2,1,1,1,1690,1696,1696,6,1,0,0,1,44,Face4.jpg,Face5.jpg,4,5,45,r,u,W,M,1,11,1,0,0,1,1,0,0,,,0,1
1,2,1,1,1,1950,1973,1973,23,1,0,0,1,45,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,1,11,1,0,1,0,1,0,0,,,0,1
1,2,1,1,1,1518,1524,1524,6,1,1,1,1,46,Face4.jpg,Face6.jpg,4,6,46,r,i,W,SI,1,11,1,0,0,0,1,0,1,,,0,1
1,2,1,1,1,1758,1750,1758,8,1,1,1,1,47,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,1,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1183,1175,1183,8,1,0,0,1,48,Face2.jpg,Face5.jpg,2,5,25,w,u,W,SI,1,11,1,1,0,1,1,0,0,,,0,1
1,2,1,1,1,3293,40,3293,3253,1,0,0,1,49,Face3.jpg,Face7.jpg,3,7,37,e,o,W,SC,1,11,1,0,0,0,0,0,0,,,0,1
1,2,1,1,1,1344,1351,1351,7,1,1,1,1,50,Face4.jpg,Face7.jpg,4,7,47,r,o,R,SI,1,11,1,0,1,0,1,0,1,,,0,1
1,2,1,1,1,2254,40,2254,2214,1,0,0,2,1,Face2.jpg,Face7.jpg,2,7,27,w,o,U,M,0,11,1,1,1,1,0,0,0,,,0,1
1,2,1,1,1,1722,1729,1729,7,1,1,1,2,2,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,0,0,1,0,1,0,1,,,0,1
