Subject,session,session_rev,Reward,ACC
14,9,7,-1,1
14,9,7,1,0.857142857
15,2,0,-1,0.315789474
15,2,0,1,0.625
15,3,1,-1,0.875
15,3,1,1,0.882352941
15,4,2,-1,0.625
15,4,2,1,0.941176471
15,5,3,-1,0.95
15,5,3,1,0.888888889
15,6,4,-1,0.727272727
15,6,4,1,0.941176471
15,7,5,-1,0.833333333
15,7,5,1,0.923076923
15,8,6,-1,0.736842105
15,8,6,1,0.8
15,9,7,-1,0.875
15,9,7,1,0.823529412
16,2,0,-1,0.588235294
16,2,0,1,0.6
16,3,1,-1,0.705882353
16,3,1,1,0.5625
16,4,2,-1,0.913043478
16,4,2,1,0.666666667
16,5,3,-1,0.961538462
16,5,3,1,0.9
16,6,4,-1,0.962962963
16,6,4,1,0.9375
16,7,5,-1,1
16,7,5,1,0.941176471
16,8,6,-1,1
16,8,6,1,0.9375
16,9,7,-1,0.916666667
16,9,7,1,1
17,2,0,-1,0.666666667
17,2,0,1,0.636363636
17,3,1,-1,0.805555556
17,3,1,1,0.4
17,4,2,-1,0.793103448
17,4,2,1,0.666666667
17,5,3,-1,0.894736842
17,5,3,1,0.727272727
17,6,4,-1,0.894736842
17,6,4,1,0.875
17,7,5,-1,1
17,7,5,1,0.7
17,8,6,-1,0.826086957
17,8,6,1,0.64
17,9,7,-1,0.8125
17,9,7,1,0.888888889
18,2,0,-1,0.666666667
18,2,0,1,0.25
18,3,1,-1,0.733333333
18,3,1,1,0.666666667
18,4,2,-1,0.578947368
18,4,2,1,0.476190476
18,5,3,-1,0.777777778
18,5,3,1,0.458333333
18,6,4,-1,0.684210526
18,6,4,1,0.818181818
18,7,5,-1,0.6875
18,7,5,1,0.7
18,8,6,-1,0.533333333
18,8,6,1,0.789473684
18,9,7,-1,0.842105263
18,9,7,1,1
19,2,0,-1,0.384615385
19,2,0,1,0.166666667
19,3,1,-1,0.652173913
19,3,1,1,0.611111111
19,4,2,-1,0.75
19,4,2,1,0.55
19,5,3,-1,0.714285714
19,5,3,1,0.823529412
19,6,4,-1,0.777777778
19,6,4,1,0.733333333
19,7,5,-1,0.666666667
19,7,5,1,0.866666667
19,8,6,-1,0.888888889
19,8,6,1,0.941176471
19,9,7,-1,0.6875
19,9,7,1,0.833333333
20,2,0,-1,0.607142857
20,2,0,1,0.45
20,3,1,-1,0.6
20,3,1,1,0.684210526
20,4,2,-1,0.944444444
20,4,2,1,0.944444444
20,5,3,-1,1
20,5,3,1,0.9375
20,6,4,-1,1
20,6,4,1,0.9375
20,7,5,-1,0.909090909
20,7,5,1,0.95
20,8,6,-1,0.916666667
20,8,6,1,1
20,9,7,-1,1
20,9,7,1,1
21,2,0,-1,0.7
21,2,0,1,0.578947368
21,3,1,-1,0.6875
21,3,1,1,1
21,4,2,-1,0.692307692
21,4,2,1,0.75
21,5,3,-1,0.75
21,5,3,1,0.882352941
21,6,4,-1,0.866666667
21,6,4,1,0.947368421
21,7,5,-1,0.823529412
21,7,5,1,0.941176471
21,8,6,-1,0.875
21,8,6,1,0.933333333
21,9,7,-1,0.875
21,9,7,1,0.923076923
22,2,0,-1,0.526315789
22,2,0,1,0.517241379
22,3,1,-1,0.782608696
22,3,1,1,0.6
22,4,2,-1,0.8
22,4,2,1,0.666666667
22,5,3,-1,0.866666667
22,5,3,1,0.625
22,6,4,-1,1
22,6,4,1,0.75
22,7,5,-1,0.842105263
22,7,5,1,0.941176471
22,8,6,-1,0.913043478
22,8,6,1,0.933333333
22,9,7,-1,0.928571429
22,9,7,1,0.823529412
23,2,0,-1,0.533333333
23,2,0,1,0.727272727
23,3,1,-1,0.5
23,3,1,1,0.625
23,4,2,-1,0.5
23,4,2,1,0.666666667
23,5,3,-1,0.411764706
23,5,3,1,0.416666667
23,6,4,-1,0.454545455
23,6,4,1,0.619047619
23,7,5,-1,0.5625
23,7,5,1,0.736842105
23,8,6,-1,0.823529412
23,8,6,1,0.736842105
23,9,7,-1,0.75
23,9,7,1,0.9375
24,2,0,-1,0.5
24,2,0,1,0.357142857
24,3,1,-1,0.666666667
24,3,1,1,0.583333333
24,4,2,-1,0.695652174
24,4,2,1,0.538461538
24,5,3,-1,0
24,5,3,1,0.642857143
24,6,4,-1,0.473684211
24,6,4,1,0.666666667
