Subject,session,session_rev,Reward,ACC
35,6,4,-1,0.857142857
35,6,4,1,0.714285714
35,7,5,-1,1
35,7,5,1,1
35,8,6,-1,0.714285714
35,8,6,1,1
35,9,7,-1,0.75
35,9,7,1,1
36,2,0,-1,1
36,2,0,1,0.75
36,3,1,-1,1
36,3,1,1,1
36,4,2,-1,0.6
36,4,2,1,0.8
36,5,3,-1,0.857142857
36,5,3,1,0.75
36,6,4,-1,1
36,6,4,1,0.75
36,7,5,-1,0.75
36,7,5,1,0.666666667
36,8,6,-1,1
36,8,6,1,1
36,9,7,-1,0.8
36,9,7,1,1
41,2,0,-1,1
41,2,0,1,0.8
41,3,1,-1,0.666666667
41,3,1,1,0.875
41,4,2,-1,1
41,4,2,1,1
41,5,3,-1,0.666666667
41,5,3,1,1
41,6,4,-1,1
41,6,4,1,1
41,7,5,-1,0.5
41,7,5,1,1
41,8,6,-1,1
41,8,6,1,1
41,9,7,-1,1
42,2,0,-1,1
42,2,0,1,0.6
42,3,1,-1,0.666666667
42,3,1,1,0.777777778
42,4,2,-1,0.8
42,4,2,1,0.75
42,5,3,-1,0.4
42,5,3,1,0.75
42,6,4,-1,1
42,7,5,-1,0.75
42,7,5,1,0.75
42,8,6,-1,1
42,8,6,1,1
42,9,7,-1,1
42,9,7,1,0.75
43,2,0,-1,0.833333333
43,2,0,1,0.727272727
43,3,1,-1,0.833333333
43,3,1,1,0.888888889
43,4,2,-1,1
43,4,2,1,0.857142857
43,5,3,-1,0.666666667
43,5,3,1,0.666666667
43,6,4,-1,0.714285714
43,6,4,1,0.8
43,7,5,-1,0.5
43,7,5,1,1
43,8,6,-1,1
43,8,6,1,1
43,9,7,-1,1
43,9,7,1,1
44,2,0,-1,1
44,2,0,1,1
44,3,1,-1,0.75
44,3,1,1,0.75
44,4,2,-1,0.75
44,4,2,1,1
44,5,3,-1,1
44,5,3,1,1
44,6,4,-1,1
44,6,4,1,0
44,7,5,-1,1
44,8,6,-1,1
44,8,6,1,1
44,9,7,-1,1
44,9,7,1,1
49,2,0,-1,1
49,2,0,1,1
49,3,1,-1,1
49,3,1,1,1
49,4,2,-1,1
49,4,2,1,1
49,5,3,-1,1
49,5,3,1,1
49,6,4,-1,1
49,6,4,1,1
49,7,5,1,1
49,8,6,-1,1
49,8,6,1,1
49,9,7,-1,1
49,9,7,1,1
50,2,0,-1,0.5
50,2,0,1,0.75
50,3,1,-1,0.5
50,3,1,1,1
50,4,2,-1,1
50,4,2,1,1
50,5,3,-1,1
50,5,3,1,0.666666667
50,6,4,-1,1
50,6,4,1,1
50,7,5,-1,1
50,7,5,1,1
50,8,6,-1,1
50,8,6,1,1
50,9,7,-1,1
50,9,7,1,0.5
51,2,0,-1,1
51,2,0,1,0.857142857
51,3,1,-1,1
51,3,1,1,1
51,4,2,-1,1
51,4,2,1,0.666666667
51,5,3,-1,1
51,5,3,1,1
51,6,4,1,1
51,7,5,-1,1
51,7,5,1,1
51,8,6,-1,1
51,8,6,1,1
51,9,7,1,1
52,2,0,-1,1
52,2,0,1,1
52,3,1,-1,1
52,3,1,1,1
52,4,2,-1,1
52,4,2,1,1
52,5,3,-1,1
52,5,3,1,1
52,6,4,-1,1
52,6,4,1,0.5
52,7,5,1,1
52,8,6,-1,1
52,8,6,1,1
52,9,7,-1,1
52,9,7,1,1
57,2,0,-1,1
57,2,0,1,0.666666667
57,3,1,-1,1
57,3,1,1,0
57,4,2,-1,1
57,4,2,1,1
57,5,3,-1,1
57,5,3,1,1
57,6,4,-1,0.75
57,6,4,1,1
57,7,5,-1,1
57,7,5,1,0.75
57,8,6,-1,1
57,8,6,1,0
57,9,7,-1,1
57,9,7,1,1
58,2,0,-1,0.818181818
58,2,0,1,0.461538462
58,3,1,-1,0.714285714
58,3,1,1,1
58,4,2,-1,1
58,4,2,1,0.666666667
58,5,3,-1,0.5
58,5,3,1,0.857142857
58,6,4,-1,0.8
58,6,4,1,0.8
58,7,5,-1,1
58,7,5,1,1
58,8,6,-1,0.875
58,8,6,1,0.666666667
58,9,7,-1,1
58,9,7,1,1
59,2,0,-1,1
59,2,0,1,0.666666667
59,3,1,-1,1
59,3,1,1,1
59,4,2,-1,1
59,4,2,1,0
59,5,3,-1,1
59,5,3,1,1
59,6,4,-1,1
59,6,4,1,0
59,7,5,-1,1
59,7,5,1,1
59,8,6,-1,1
59,8,6,1,1
59,9,7,-1,1
59,9,7,1,1
60,2,0,-1,1
60,2,0,1,1
60,3,1,-1,1
60,3,1,1,1
60,4,2,-1,1
60,4,2,1,1
60,5,3,-1,1
60,5,3,1,0.5
60,6,4,-1,1
60,6,4,1,1
60,7,5,-1,0.75
60,7,5,1,1
60,8,6,-1,1
60,8,6,1,1
60,9,7,-1,0.666666667
60,9,7,1,1
81,2,0,1,1
81,3,1,1,1
81,4,2,-1,1
81,4,2,1,1
81,5,3,-1,1
81,6,4,-1,1
81,6,4,1,1
81,7,5,-1,1
81,7,5,1,1
81,8,6,-1,1
81,8,6,1,1
81,9,7,-1,0.5
91,2,0,-1,1
91,2,0,1,0.857142857
91,3,1,-1,0.666666667
91,3,1,1,1
91,4,2,-1,1
91,4,2,1,1
91,5,3,-1,1
91,5,3,1,0.75
91,6,4,-1,1
91,6,4,1,1
91,7,5,-1,1
91,7,5,1,1
91,8,6,-1,1
91,8,6,1,1
91,9,7,-1,1
91,9,7,1,1
