Subject,session,session_rev,Reward,RT
1,2,0,-1,1627
1,2,0,1,1560
1,3,1,-1,1279
1,3,1,1,1227
1,4,2,-1,1237
1,4,2,1,1218
1,5,3,-1,1298
1,5,3,1,1096
1,6,4,-1,1241
1,6,4,1,1238
1,7,5,-1,1320
1,7,5,1,1251
1,8,6,-1,1253
1,8,6,1,1181
1,9,7,-1,1270
1,9,7,1,1253
2,2,0,-1,1366
2,2,0,1,1268
2,3,1,-1,1165
2,3,1,1,1292
2,4,2,-1,1042
2,4,2,1,1168
2,5,3,-1,1235
2,5,3,1,1300
2,6,4,-1,1140
2,6,4,1,1162
2,7,5,-1,991
2,7,5,1,1246
2,8,6,-1,1138
2,8,6,1,1085
2,9,7,-1,1047
2,9,7,1,1223
3,2,0,-1,1293
3,2,0,1,1199
3,3,1,-1,1224
3,3,1,1,1287
3,4,2,-1,1183
3,4,2,1,1101
3,5,3,-1,1189
3,5,3,1,1131
3,6,4,-1,1206
3,6,4,1,1127
3,7,5,-1,1151
3,7,5,1,1188
3,8,6,-1,1155
3,8,6,1,1058
3,9,7,-1,1053
3,9,7,1,1003
4,2,0,-1,1026
4,2,0,1,1091
4,3,1,-1,1039
4,3,1,1,1068
4,4,2,-1,1005
4,4,2,1,1081
4,5,3,-1,971
4,5,3,1,975
4,6,4,-1,848
4,6,4,1,766
4,7,5,-1,880
4,7,5,1,841
4,8,6,-1,891
4,8,6,1,812
4,9,7,-1,811
4,9,7,1,808
9,2,0,-1,1361
9,2,0,1,1338
9,3,1,-1,1401
9,3,1,1,1425
9,4,2,-1,1424
9,4,2,1,1340
9,5,3,-1,1385
9,5,3,1,1302
9,6,4,-1,1441
9,6,4,1,1298
9,7,5,-1,1319
9,7,5,1,1278
9,8,6,-1,1273
9,8,6,1,1282
9,9,7,-1,1250
9,9,7,1,1331
10,2,0,-1,1442
10,2,0,1,1387
10,3,1,-1,1377
10,3,1,1,1406
10,4,2,-1,1328
10,4,2,1,1422
10,5,3,-1,1337
10,5,3,1,1250
10,6,4,-1,1307
10,6,4,1,1312
10,7,5,-1,1184
10,7,5,1,1224
10,8,6,-1,1349
10,8,6,1,1270
10,9,7,-1,1403
10,9,7,1,1383
11,2,0,-1,1483
11,2,0,1,1492
11,3,1,-1,1385
11,3,1,1,1422
11,4,2,-1,1256
11,4,2,1,1349
11,5,3,-1,1263
11,5,3,1,1278
11,6,4,-1,1361
11,6,4,1,1341
11,7,5,-1,1225
11,7,5,1,1294
11,8,6,-1,1314
11,8,6,1,1447
11,9,7,-1,1367
11,9,7,1,1438
12,2,0,-1,1425
12,2,0,1,1645
12,3,1,-1,1552
12,3,1,1,1642
12,4,2,-1,1631
12,4,2,1,1498
12,5,3,-1,1527
12,5,3,1,1561
12,6,4,-1,1189
12,6,4,1,1387
12,7,5,-1,1498
12,7,5,1,1520
12,8,6,-1,1482
12,8,6,1,1465
12,9,7,-1,1531
12,9,7,1,1442
18,2,0,-1,1534
18,2,0,1,1504
18,3,1,-1,1328
18,3,1,1,1393
18,4,2,-1,1497
18,4,2,1,1357
18,5,3,-1,1374
18,5,3,1,1400
18,6,4,-1,1335
18,6,4,1,1538
18,7,5,-1,1484
18,7,5,1,1390
18,8,6,-1,1384
18,8,6,1,1397
18,9,7,-1,1355
18,9,7,1,1458
19,2,0,-1,1398
19,2,0,1,1294
19,3,1,-1,1244
19,3,1,1,1253
19,4,2,-1,1363
19,4,2,1,1234
19,5,3,-1,1198
19,5,3,1,1329
19,6,4,-1,1231
19,6,4,1,1251
19,7,5,-1,1219
19,7,5,1,1244
19,8,6,-1,1272
19,8,6,1,1247
19,9,7,-1,1224
19,9,7,1,1101
20,2,0,-1,1549
20,2,0,1,1511
20,3,1,-1,1400
20,3,1,1,1416
20,4,2,-1,1330
20,4,2,1,1541
20,5,3,-1,1511
20,5,3,1,1275
20,6,4,-1,1332
20,6,4,1,1337
20,7,5,-1,1305
20,7,5,1,1339
20,8,6,-1,1474
20,8,6,1,1403
20,9,7,-1,1311
20,9,7,1,1052
25,2,0,-1,1441
25,2,0,1,1383
25,3,1,-1,1042
25,3,1,1,1044
25,4,2,-1,1070
25,4,2,1,1161
25,5,3,-1,1151
25,5,3,1,1029
25,6,4,-1,1109
25,6,4,1,1154
25,7,5,-1,1022
25,7,5,1,1057
25,8,6,-1,887
25,8,6,1,965
25,9,7,-1,1016
25,9,7,1,1027
26,2,0,-1,1282
26,2,0,1,1320
26,3,1,-1,1284
26,3,1,1,1294
26,4,2,-1,1142
26,4,2,1,1121
26,5,3,-1,1107
26,5,3,1,1105
26,6,4,-1,1076
26,6,4,1,1024
26,7,5,-1,1032
26,7,5,1,1099
26,8,6,-1,1085
26,8,6,1,1090
26,9,7,-1,1118
26,9,7,1,1244
28,2,0,-1,1326
28,2,0,1,1253
28,3,1,-1,1400
28,3,1,1,1269
28,4,2,-1,1329
28,4,2,1,1256
28,5,3,-1,1398
28,5,3,1,1382
28,6,4,-1,1274
28,6,4,1,1148
28,7,5,-1,1355
28,7,5,1,1409
28,8,6,-1,1368
28,8,6,1,1157
28,9,7,-1,1297
28,9,7,1,1212
33,2,0,-1,1502
33,2,0,1,1572
33,3,1,-1,1403
33,3,1,1,1520
33,4,2,-1,1308
33,4,2,1,1281
33,5,3,-1,1274
33,5,3,1,1281
33,6,4,-1,1358
33,6,4,1,1257
33,7,5,-1,1265
33,7,5,1,1265
33,8,6,-1,1158
33,8,6,1,1267
33,9,7,-1,1100
33,9,7,1,1168
34,2,0,-1,1397
34,2,0,1,1391
34,3,1,-1,1234
34,3,1,1,1278
34,4,2,-1,1329
34,4,2,1,1008
34,5,3,-1,1129
34,5,3,1,1105
34,6,4,-1,1052
34,6,4,1,1101
34,7,5,-1,1103
34,7,5,1,1080
34,8,6,-1,1039
34,8,6,1,1171
34,9,7,-1,1031
34,9,7,1,1069
35,2,0,-1,1480
35,2,0,1,1473
35,3,1,-1,1327
35,3,1,1,1443
35,4,2,-1,1321
35,4,2,1,1256
35,5,3,-1,989
35,5,3,1,1467
35,6,4,-1,1163
35,6,4,1,1008
35,7,5,-1,1082
35,7,5,1,1207
35,8,6,-1,1156
35,8,6,1,1154
35,9,7,-1,1225
35,9,7,1,1025
36,2,0,-1,1467
36,2,0,1,1320
36,3,1,-1,1223
36,3,1,1,1212
36,4,2,-1,1186
36,4,2,1,1312
36,5,3,-1,1341
36,5,3,1,1263
36,6,4,-1,1159
36,6,4,1,1424
36,7,5,-1,1320
36,7,5,1,1269
36,8,6,-1,1205
36,8,6,1,1296
36,9,7,-1,1444
36,9,7,1,1359
41,2,0,-1,1479
41,2,0,1,1388
41,3,1,-1,1442
41,3,1,1,1381
